track_id,bit_rate,comments,composer,date_created,date_recorded,duration,favorites,genre_top,genres,genres_all,information,interest,language_code,license,listens,lyricist,number,publisher,tags,title
2,256000,0,,2008-11-26 01:48:12,2008-11-26 00:00:00,168,2,Hip-Hop,[21],[21],,4656,en,Attribution-NonCommercial-ShareAlike 3.0 International,1293,,3,,[],Food
5,256000,0,,2008-11-26 01:48:20,2008-11-26 00:00:00,206,6,Hip-Hop,[21],[21],,1933,en,Attribution-NonCommercial-ShareAlike 3.0 International,1151,,6,,[],This World
10,192000,0,Kurt Vile,2008-11-25 17:49:06,2008-11-26 00:00:00,161,178,Pop,[10],[10],,54881,en,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,50135,,1,,[],Freeway
140,128000,0,,2008-11-26 01:44:07,2008-11-26 00:00:00,253,5,Folk,[17],[17],,1593,en,Attribution-Noncommercial-No Derivative Works 3.0 United States,1299,,2,,[],Queen Of The Wires
141,128000,0,,2008-11-26 01:44:10,2008-11-26 00:00:00,182,1,Folk,[17],[17],,839,en,Attribution-Noncommercial-No Derivative Works 3.0 United States,725,,4,,[],Ohio
148,256000,0,,2008-11-26 01:44:28,2002-08-01 00:00:00,138,1,Experimental,[1],"[1, 38]",,2437,en,Attribution-Noncommercial-Share Alike 3.0 United States,1831,,2,,[],Blackout 2
182,256000,0,,2008-11-26 01:46:34,2008-11-26 00:00:00,228,19,Rock,[27],"[27, 12]",,5990,en,Attribution-Noncommercial-No Derivative Works 3.0 United States,5547,,3,,[],Jules Lost His Jewels
190,256000,0,,2008-11-26 01:46:54,,249,1,Folk,[17],[17],,1758,en,Attribution-NonCommercial-ShareAlike 3.0 International,945,,2,,[],Castle Of Stars
193,256000,0,,2008-11-26 01:47:02,,254,0,Folk,[17],[17],,1679,en,Attribution-NonCommercial-ShareAlike 3.0 International,824,,3,,[],Here With You
194,256000,0,,2008-11-26 01:47:05,,192,1,Folk,[17],[17],,1780,en,Attribution-NonCommercial-ShareAlike 3.0 International,754,,4,,[],All I want to Do
197,256000,0,,2008-11-26 01:47:15,,68,1,Folk,[17],[17],,2286,en,Attribution-NonCommercial-ShareAlike 3.0 International,833,,5,,[],Piano 2
200,256000,0,,2008-11-26 01:47:25,,194,1,Folk,[17],[17],,1945,en,Attribution-NonCommercial-ShareAlike 3.0 International,772,,7,,[],Baby Come Home
203,256000,0,,2008-11-26 01:47:34,,195,2,Folk,[17],[17],,1737,en,Attribution-NonCommercial-ShareAlike 3.0 International,603,,8,,[],Song For R
204,256000,0,,2008-11-26 01:47:37,,324,0,Folk,[17],[17],,1954,en,Attribution-NonCommercial-ShareAlike 3.0 International,688,,9,,[],My Dream
207,256000,0,,2008-11-26 01:47:47,,96,0,Folk,[17],[17],,2811,en,Attribution-NonCommercial-ShareAlike 3.0 International,609,,10,,[],Piano 3
210,256000,0,,2008-11-26 01:47:58,,184,1,Folk,[17],[17],,3706,en,Attribution-NonCommercial-ShareAlike 3.0 International,1824,,13,,[],In the French Court
211,256000,0,,2008-11-26 01:48:00,,247,3,Folk,[17],[17],,16106,en,Attribution-NonCommercial-ShareAlike 3.0 International,1714,,14,,[],In America
212,256000,0,,2008-11-26 01:48:07,,230,2,Folk,[17],[17],,2299,en,Attribution-NonCommercial-ShareAlike 3.0 International,551,,15,,[],When I Arive
213,256000,0,Luke Wyland,2008-11-26 01:48:12,2007-01-01 00:00:00,247,10,Pop,[10],[10],,2828,en,Attribution-NonCommercial-ShareAlike 3.0 International,1148,,1,,[],Boute
255,256000,0,,2008-11-26 01:50:38,2006-11-26 00:00:00,182,24,Rock,[12],[12],,5585,en,Attribution-Noncommercial-Share Alike 3.0 United States,4495,,12,,[],We Want to be Old
256,256000,0,,2008-11-26 01:50:40,2006-11-07 00:00:00,202,3,Rock,[31],"[12, 31]",,2864,en,Attribution-NonCommercial-ShareAlike 3.0 International,2311,,1,,[],Toggle
368,256000,0,,2008-11-26 01:55:14,2008-11-26 00:00:00,280,1,Rock,[89],"[89, 12, 25]",,3572,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,2281,,0,,[],Vampires
424,256000,0,Brian Joseph Davis,2008-11-26 01:59:31,2008-11-26 00:00:00,76,3,Experimental,[1],"[1, 38]",,4323,en,Attribution-NonCommercial-ShareAlike 3.0 International,3562,,5,,[],The Ambient Honky
459,128000,0,,2008-11-25 22:01:08,2008-11-26 00:00:00,301,45,Rock,[36],"[36, 12]",,11132,en,Attribution-NonCommercial-ShareAlike 3.0 International,7765,,0,,[],Machines and Muscles
534,128000,0,,2008-11-26 02:03:52,2008-11-26 00:00:00,80,3,Folk,[17],[17],,1875,en,Attribution-Noncommercial-Share Alike 3.0 United States,614,,1,,[],I Can See You
540,128000,0,,2008-11-26 02:04:03,2008-11-26 00:00:00,309,3,Folk,[17],[17],,1757,en,Attribution-Noncommercial-Share Alike 3.0 United States,835,,7,,[],The Black Pirate
546,128000,0,,2008-11-26 02:04:18,2008-11-26 00:00:00,319,1,Folk,[17],[17],,1826,en,Attribution-Noncommercial-Share Alike 3.0 United States,741,,13,,[],If You Have No One
574,219522,0,Clockcleaner,2008-11-26 02:05:38,2007-10-17 00:00:00,267,11,Rock,[25],"[25, 12]",,3169,en,Attribution-NonCommercial-ShareAlike 3.0 International,2617,,4,,[],Caliente Queen
602,160000,0,,2008-11-26 02:07:10,2008-11-26 00:00:00,445,0,Folk,[17],[17],,1262,en,Attribution-NonCommercial-ShareAlike 3.0 International,660,,3,,[],Disappearing
615,256000,0,Kyle Bruckmann and Ernst Karel,2008-11-26 02:07:36,2008-11-26 00:00:00,519,0,Experimental,[41],"[41, 38]",,2016,en,Attribution-NonCommercial-ShareAlike 3.0 International,1019,,1,,[],"Immaterial, side A"
620,256000,0,Ed Askew,2008-11-26 02:07:58,2008-11-26 00:00:00,205,1,Folk,[17],[17],,1853,en,Attribution-NonCommercial-ShareAlike 3.0 International,922,,4,,[],Arabesque
621,256000,0,,2008-11-26 02:08:00,2008-11-26 00:00:00,161,0,Folk,[17],[17],,1252,en,Attribution-NonCommercial-ShareAlike 3.0 International,678,,4,,[],Blue Eyed Baby
625,256000,0,,2008-11-26 02:08:17,2008-11-26 00:00:00,234,3,Folk,[17],[17],,1625,en,Attribution-NonCommercial-ShareAlike 3.0 International,655,,7,,[],Climbing To The Top
666,256000,1,,2008-11-26 02:11:23,2008-11-26 00:00:00,235,13,International,[79],"[2, 79]",,2614,en,Attribution-NonCommercial-ShareAlike 3.0 International,1902,,0,,[],Heat
667,256000,0,,2008-11-26 02:11:27,2008-11-26 00:00:00,246,15,International,[79],"[2, 79]",,2723,en,Attribution-NonCommercial-ShareAlike 3.0 International,2005,,0,,[],Sharpen The Knife
676,256000,0,,2008-11-26 02:11:57,2007-01-01 00:00:00,197,0,Hip-Hop,[21],[21],,1747,en,Attribution-NonCommercial-ShareAlike 3.0 International,1225,,5,,[],The Tension
690,256000,0,,2008-11-26 02:12:46,2006-01-01 00:00:00,290,5,Rock,[12],[12],,8125,en,Attribution-NonCommercial-ShareAlike 3.0 International,5724,,1,,[],Cataclysm
694,160000,0,Food For Animals / Faust,2008-11-25 21:13:08,2007-11-30 00:00:00,291,17,Hip-Hop,[21],[21],"<p>Recorded with Hans Jochim Irmler from Faust winter of 2007.</p>
<p>Track also featured on <a href=""http://blog.wfmu.org/freeform/2008/07/free-music-arch.html"" target=""_blank""><span style=""text-decoration:underline;""><span style=""text-decoration:underline;"">Selected Sounds from the Free Music Archive vol. 1</span></span></a></p>
<p><span style=""text-decoration:underline;""><span style=""text-decoration:underline;""><br /></span></span></p>",7007,en,Attribution-NonCommercial-ShareAlike 3.0 International,7883,,0,,[],Planet Say (featuring Faust)
695,160000,1,,2008-11-26 02:13:10,2006-01-01 00:00:00,104,10,Hip-Hop,[21],[21],"<p>Available on the <a href=""http://www.cockrockdisco.com/free.zip"" target=""_blank"">Cock Rock Disco 2006 Free Compilation.</a></p>",3590,en,Attribution-NonCommercial-ShareAlike 3.0 International,2826,,0,,[],Elephants
704,256000,0,,2008-11-26 02:13:29,2007-01-01 00:00:00,310,5,International,[46],"[2, 46]",,2181,es,Attribution-NonCommercial-ShareAlike 3.0 International,2105,,1,,[],Mano De Dios
705,256000,0,,2008-11-26 02:13:33,2007-01-01 00:00:00,369,7,International,[46],"[2, 46]",,3240,es,Attribution-NonCommercial-ShareAlike 3.0 International,2545,,2,,[],Tio Cocodrilo
706,256000,0,,2008-11-26 02:13:37,2007-01-01 00:00:00,312,3,International,[46],"[2, 46]",,2699,es,Attribution-NonCommercial-ShareAlike 3.0 International,1948,,3,,[],Esto Es Califas
707,256000,0,,2008-11-26 02:13:41,2007-01-01 00:00:00,330,3,International,[46],"[2, 46]",,2170,es,Attribution-NonCommercial-ShareAlike 3.0 International,1922,,5,,[],Cochabamba
708,256000,1,,2008-11-26 02:13:45,2007-01-01 00:00:00,289,33,International,[46],"[2, 46]",,4581,es,Attribution-NonCommercial-ShareAlike 3.0 International,5007,,6,,[],Desconocido
709,192000,0,,2008-11-26 02:13:48,2007-01-01 00:00:00,192,9,International,[46],"[2, 46]",,4897,es,Attribution-NonCommercial-ShareAlike 3.0 International,3812,,7,,[],Cumbia De Obama
714,256000,0,Tara Burke,2008-11-26 02:13:59,2002-03-29 00:00:00,338,4,Folk,[17],[17],<p>Recorded 3.29.02 at the Khyber Pass Phila PA.</p>,1229,en,Attribution-NonCommercial-ShareAlike 3.0 International,646,,1,,[],Circle Moon
715,256000,0,Tara Burke,2008-11-26 02:14:03,2008-03-01 00:00:00,283,10,Folk,[17],[17],,1526,en,Attribution-NonCommercial-ShareAlike 3.0 International,928,,1,,[],Kokopelli
716,256000,0,Tara Burke,2008-11-26 02:14:07,2008-03-01 00:00:00,297,5,Folk,[17],[17],,1784,en,Attribution-NonCommercial-ShareAlike 3.0 International,1252,,4,,[],Saxalainen
718,256000,0,Tara Burke,2008-11-26 02:14:14,2008-03-01 00:00:00,128,8,Folk,[17],[17],,4152,en,Attribution-NonCommercial-ShareAlike 3.0 International,3061,,5,,[],Song Of The Spindle Berry
777,256000,0,,2008-11-26 02:18:08,2000-01-01 00:00:00,90,0,Rock,[12],[12],,4235,en,Attribution-NonCommercial-ShareAlike 3.0 International,3247,,1,,[],Relaxing
814,256000,0,,2008-11-26 02:19:37,2008-11-26 00:00:00,146,2,Folk,[17],[17],,1519,en,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,1284,,8,,[],Motion Passings
821,256000,0,,2008-11-26 02:19:52,2008-03-18 00:00:00,200,0,Pop,[10],[10],,1437,en,Attribution-NonCommercial-ShareAlike 3.0 International,438,,1,,[],Sir
822,256000,0,,2008-11-26 02:19:56,2008-03-18 00:00:00,323,0,Pop,[10],[10],,1430,en,Attribution-NonCommercial-ShareAlike 3.0 International,660,,3,,[],Tom & Jerry
825,128000,0,,2008-11-26 02:20:26,2008-01-01 00:00:00,83,2,Rock,"[12, 45, 58, 66]","[58, 66, 12, 45]",,2780,en,Attribution-NonCommercial-ShareAlike 3.0 International,2262,,1,,[],Death March
853,256000,0,,2008-11-26 02:22:12,1940-01-01 00:00:00,137,2,International,[2],[2],"<p>This wedding song was released first in the USSR and subsequently in the late 1940s by a New York label catering to eastern Europeans.&nbsp; Hutzls (also Hutsuls, among many other spellings) are a semi-nomadic ethnic group from the Carpathian Mountains in the Ukraine, in particular, but also Romania, Slovakia, and Poland. (-by Ian Nagoski)</p>",3512,en,Attribution-Noncommercial-Share Alike 3.0 United States,2374,,10,,[],Welsinsni Melodyi
